[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/unittest/result.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/pprint.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/asyncio/selector_events.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/email/base64mime.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/socketserver.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/middleware/csrf.py first seen with mtime 1579901557.7546601
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/http/server.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/email/_policybase.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1579901557.734658
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/lib-dynload/_multiprocessing.cpython-36m-x86_64-linux-gnu.so first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/concurrent/__init__.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/views/static.py first seen with mtime 1579901557.7706618
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/admin/sites.py first seen with mtime 1579901557.1746006
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/psycopg2/compat.py first seen with mtime 1575597289.4109907
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/wsgiref/headers.py first seen with mtime 1573123442.0
